,id,gender,customer type,age,type of travel,class,flight distance,inflight wifi service,departure/arrival time convenient,ease of online booking,gate location,food and drink,online boarding,seat comfort,inflight entertainment,on-board service,leg room service,baggage handling,checkin service,inflight service,cleanliness,departure delay in minutes,arrival delay in minutes,satisfaction
0,19556,female,loyal customer,52,business travel,eco,160,5,4,3,4,3,4,3,5,5,5,5,2,5,5,50,44.0,satisfied
1,90035,female,loyal customer,36,business travel,business,2863,1,1,3,1,5,4,5,4,4,4,4,3,4,5,0,0.0,satisfied
2,12360,male,disloyal customer,20,business travel,eco,192,2,0,2,4,2,2,2,2,4,1,3,2,2,2,0,0.0,neutral or dissatisfied
3,77959,male,loyal customer,44,business travel,business,3377,0,0,0,2,3,4,4,1,1,1,1,3,1,4,0,6.0,satisfied
4,36875,female,loyal customer,49,business travel,eco,1182,2,3,4,3,4,1,2,2,2,2,2,4,2,4,0,20.0,satisfied
5,39177,male,loyal customer,16,business travel,eco,311,3,3,3,3,5,5,3,5,4,3,1,1,2,5,0,0.0,satisfied
6,79433,female,loyal customer,77,business travel,business,3987,5,5,5,5,3,5,5,5,5,5,5,4,5,3,0,0.0,satisfied
7,97286,female,loyal customer,43,business travel,business,2556,2,2,2,2,4,4,5,4,4,4,4,5,4,3,77,65.0,satisfied
8,27508,male,loyal customer,47,business travel,eco,556,5,2,2,2,5,5,5,5,2,2,5,3,3,5,1,0.0,satisfied
9,62482,female,loyal customer,46,business travel,business,1744,2,2,2,2,3,4,4,4,4,4,4,5,4,4,28,14.0,satisfied
10,47583,female,loyal customer,47,business travel,eco,1235,4,1,1,1,5,1,5,3,3,4,3,1,3,4,29,19.0,satisfied
11,115550,female,loyal customer,33,business travel,business,325,2,5,5,5,1,3,4,2,2,2,2,3,2,4,18,7.0,neutral or dissatisfied
12,119987,female,loyal customer,46,business travel,business,1009,5,5,5,5,4,5,5,5,5,5,5,5,5,3,0,0.0,satisfied
13,42141,female,loyal customer,60,business travel,business,451,1,1,4,1,5,5,4,5,5,5,5,3,5,5,117,113.0,satisfied
14,2274,female,loyal customer,52,business travel,business,925,2,2,2,2,5,5,4,4,4,4,4,3,4,5,10,0.0,satisfied
15,22470,male,loyal customer,50,personal travel,eco,83,3,4,0,3,2,0,2,2,4,2,4,4,5,2,5,2.0,neutral or dissatisfied
16,124915,female,loyal customer,31,business travel,eco,728,2,5,5,5,2,2,2,2,4,3,3,4,3,2,2,0.0,neutral or dissatisfied
17,17836,male,loyal customer,52,personal travel,eco plus,1075,5,4,5,3,4,5,4,4,3,5,5,4,5,4,0,0.0,satisfied
18,76872,female,loyal customer,43,personal travel,eco,1927,3,4,3,1,4,4,5,5,5,3,5,4,5,3,0,0.0,neutral or dissatisfied
19,64287,female,loyal customer,50,business travel,business,3799,5,5,5,5,4,5,4,4,4,5,4,5,4,5,8,0.0,satisfied
20,63995,male,loyal customer,60,business travel,business,612,4,4,4,4,2,4,5,5,5,5,5,5,5,5,21,49.0,satisfied
21,75855,male,loyal customer,43,personal travel,eco,1437,3,4,3,4,2,3,2,2,4,2,4,4,5,2,0,0.0,neutral or dissatisfied
22,106181,male,loyal customer,55,personal travel,eco,302,1,2,4,3,4,4,4,4,1,3,2,4,3,4,0,0.0,neutral or dissatisfied
23,44304,male,loyal customer,25,business travel,business,1428,4,4,4,4,4,4,4,4,1,5,3,1,5,4,0,0.0,satisfied
24,82602,female,disloyal customer,30,business travel,eco,528,4,3,5,3,2,5,2,2,3,2,3,4,4,2,0,0.0,neutral or dissatisfied
25,7823,male,loyal customer,62,personal travel,eco,710,3,5,3,4,2,3,2,2,3,5,5,4,4,2,0,0.0,neutral or dissatisfied
26,127781,male,loyal customer,24,business travel,business,3680,4,1,4,4,2,2,2,2,5,5,5,5,4,2,0,0.0,satisfied
27,34501,female,loyal customer,22,business travel,eco,1521,4,1,1,1,4,4,4,4,1,4,1,1,5,4,3,13.0,satisfied
28,121658,male,loyal customer,44,business travel,business,1543,3,5,3,3,5,4,5,5,5,5,5,5,5,5,0,0.0,satisfied
29,20219,male,loyal customer,51,business travel,eco,235,4,3,3,3,4,4,4,4,3,2,3,3,4,4,0,0.0,neutral or dissatisfied
30,67551,male,loyal customer,43,personal travel,business,1235,1,5,1,1,1,1,4,3,3,1,5,4,3,5,0,0.0,neutral or dissatisfied
31,48994,female,loyal customer,56,business travel,eco,308,2,3,3,3,5,2,5,2,2,2,2,2,2,2,0,0.0,satisfied
32,70811,male,disloyal customer,41,business travel,eco,624,2,3,2,4,5,2,5,5,4,3,3,1,4,5,0,0.0,neutral or dissatisfied
33,75241,male,loyal customer,22,personal travel,eco,1846,4,5,4,4,5,4,5,5,5,4,4,4,4,5,40,68.0,neutral or dissatisfied
34,12312,female,loyal customer,53,business travel,eco,192,5,2,2,2,3,4,2,5,5,5,5,2,5,4,0,1.0,satisfied
35,48372,male,loyal customer,12,personal travel,eco,674,3,4,3,1,1,3,1,1,3,3,5,4,4,1,80,70.0,neutral or dissatisfied
36,51477,female,loyal customer,39,business travel,business,370,3,3,3,3,2,4,5,4,4,4,4,4,4,5,10,12.0,satisfied
37,84204,female,loyal customer,55,business travel,business,3169,1,1,1,1,3,5,4,5,5,5,5,3,5,5,73,68.0,satisfied
38,70990,female,disloyal customer,32,business travel,business,802,4,4,4,2,2,4,4,2,4,2,4,3,5,2,0,10.0,neutral or dissatisfied
