id;Gender;Customer Type;Age;Type of Travel;Class;Flight Distance;Inflight wifi service;Departure/Arrival time convenient;Ease of Online booking;Gate location;Food and drink;Online boarding;Seat comfort;Inflight entertainment;On-board service;Leg room service;Baggage handling;Checkin service;Inflight service;Cleanliness;Departure Delay in Minutes;Arrival Delay in Minutes;satisfaction;Departure_Delay_Category;Arrival_Delay_Category
19556;Female;Loyal Customer;52;Business travel;Eco;160;5;4;3;4;3;4;3;5;5;5;5;2;5;5;50;44.00.00;satisfied;Long Delay (>30 min);Long Delay (>30 min)
90035;Female;Loyal Customer;36;Business travel;Business;2863;1;1;3;1;5;4;5;4;4;4;4;3;4;5;0;00.00;satisfied;No Delay;No Delay
12360;Male;disloyal Customer;20;Business travel;Eco;192;2;0;2;4;2;2;2;2;4;1;3;2;2;2;0;00.00;neutral or dissatisfied;No Delay;No Delay
77959;Male;Loyal Customer;44;Business travel;Business;3377;0;0;0;2;3;4;4;1;1;1;1;3;1;4;0;06.00;satisfied;No Delay;Short Delay (0-15 min)
36875;Female;Loyal Customer;49;Business travel;Eco;1182;2;3;4;3;4;1;2;2;2;2;2;4;2;4;0;20.00;satisfied;No Delay;Medium Delay (15-30 min)
39177;Male;Loyal Customer;16;Business travel;Eco;311;3;3;3;3;5;5;3;5;4;3;1;1;2;5;0;00.00;satisfied;No Delay;No Delay
79433;Female;Loyal Customer;77;Business travel;Business;3987;5;5;5;5;3;5;5;5;5;5;5;4;5;3;0;00.00;satisfied;No Delay;No Delay
97286;Female;Loyal Customer;43;Business travel;Business;2556;2;2;2;2;4;4;5;4;4;4;4;5;4;3;77;65.00.00;satisfied;Long Delay (>30 min);Long Delay (>30 min)
27508;Male;Loyal Customer;47;Business travel;Eco;556;5;2;2;2;5;5;5;5;2;2;5;3;3;5;1;00.00;satisfied;Short Delay (0-15 min);No Delay
62482;Female;Loyal Customer;46;Business travel;Business;1744;2;2;2;2;3;4;4;4;4;4;4;5;4;4;28;14.00;satisfied;Medium Delay (15-30 min);Short Delay (0-15 min)
47583;Female;Loyal Customer;47;Business travel;Eco;1235;4;1;1;1;5;1;5;3;3;4;3;1;3;4;29;19.00;satisfied;Medium Delay (15-30 min);Medium Delay (15-30 min)
115550;Female;Loyal Customer;33;Business travel;Business;325;2;5;5;5;1;3;4;2;2;2;2;3;2;4;18;07.00;neutral or dissatisfied;Medium Delay (15-30 min);Short Delay (0-15 min)
119987;Female;Loyal Customer;46;Business travel;Business;1009;5;5;5;5;4;5;5;5;5;5;5;5;5;3;0;00.00;satisfied;No Delay;No Delay
42141;Female;Loyal Customer;60;Business travel;Business;451;1;1;4;1;5;5;4;5;5;5;5;3;5;5;117;113.00.00;satisfied;Long Delay (>30 min);Long Delay (>30 min)
2274;Female;Loyal Customer;52;Business travel;Business;925;2;2;2;2;5;5;4;4;4;4;4;3;4;5;10;00.00;satisfied;Short Delay (0-15 min);No Delay
22470;Male;Loyal Customer;50;Personal Travel;Eco;83;3;4;0;3;2;0;2;2;4;2;4;4;5;2;5;02.00;neutral or dissatisfied;Short Delay (0-15 min);Short Delay (0-15 min)
124915;Female;Loyal Customer;31;Business travel;Eco;728;2;5;5;5;2;2;2;2;4;3;3;4;3;2;2;00.00;neutral or dissatisfied;Short Delay (0-15 min);No Delay
17836;Male;Loyal Customer;52;Personal Travel;Eco Plus;1075;5;4;5;3;4;5;4;4;3;5;5;4;5;4;0;00.00;satisfied;No Delay;No Delay
